,adminRights,controllables,controllers,dcomRights,members,membership,admincount,description,distinguishedname,doesanyacegrantownerrights,doesanyinheritedacegrantownerrights,domain,domainsid,isaclprotected,lastseen,name,objectid,samaccountname,whencreated,psRemoteRights,rdpRights,sessions,admin_tier_0,path_da_nnodes,path_da_nedges,path_da_nodes,path_da_edges,path_da_nodes_oidlist,control_risk,system_tags,objectID,error,controllables_norm,controllers_norm,path_da_nedges_norm,members_norm,sessions_norm,n_in_path_da,n_in_path_da_norm,members_controllables_mean,users_mean-group_control,users_mean-group_control_norm,control_risk_norm,control_risk_norm_100,control_risk_100
0,0.0,23.0,217.0,0.0,102.0,9.0,False,All workstations and servers joined to the domain,"CN=DOMAIN COMPUTERS,CN=USERS,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:36.886857315Z,DOMAIN COMPUTERS@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-515,Domain Computers,1742158089.0,0.0,0.0,0.0,False,10.0,13.0,"                               label       kind  \
id                                                
1002               USERS@MYLAB.LOCAL  Container   
1013    DOMAIN COMPUTERS@MYLAB.LOCAL      Group   
1019         LOUIS_TYLER@MYLAB.LOCAL       User   
128        DOMAIN ADMINS@MYLAB.LOCAL      Group   
2449         KELLY_BARRY@MYLAB.LOCAL       User   
406      CHRISTIE_WILSON@MYLAB.LOCAL       User   
477        JENNA_HARDING@MYLAB.LOCAL       User   
869     DA-EST-DISTLIST1@MYLAB.LOCAL      Group   
872     RO-ARJ-DISTLIST1@MYLAB.LOCAL      Group   
879   JA-CUC-ADMINGROUP1@MYLAB.LOCAL      Group   

                                           objectId  isTierZero  \
id                                                                
1002           643CE9DD-6D50-4B82-8DA1-994C82A16D6C       False   
1013   S-1-5-21-1333368235-828418111-1849936505-515       False   
1019  S-1-5-21-1333368235-828418111-1849936505-3276        True   
128    S-1-5-21-1333368235-828418111-1849936505-512        True   
2449  S-1-5-21-1333368235-828418111-1849936505-3133       False   
406   S-1-5-21-1333368235-828418111-1849936505-1376       False   
477   S-1-5-21-1333368235-828418111-1849936505-1447        True   
869   S-1-5-21-1333368235-828418111-1849936505-3782       False   
872   S-1-5-21-1333368235-828418111-1849936505-3635       False   
879   S-1-5-21-1333368235-828418111-1849936505-3831       False   

      isOwnedObject                        lastSeen  
id                                                   
1002          False        2025-03-16T21:35:40.053Z  
1013          False  2025-03-16T21:35:36.886857315Z  
1019          False        2025-03-16T21:35:40.117Z  
128           False        2025-03-16T21:35:40.428Z  
2449          False        2025-03-16T21:35:40.117Z  
406           False        2025-03-16T21:35:40.117Z  
477           False  2025-03-16T21:35:31.048103438Z  
869           False        2025-03-16T21:35:39.799Z  
872           False        2025-03-16T21:35:39.799Z  
879           False  2025-03-16T21:35:36.886857315Z  ","   source target       label        kind                        lastSeen
0    1013    879    MemberOf    MemberOf   2025-03-16T21:35:36.88777499Z
1     879   2449  GenericAll  GenericAll  2025-03-16T21:35:35.889597893Z
2    2449    869    MemberOf    MemberOf   2025-03-16T21:35:36.88777499Z
3     869   1019  GenericAll  GenericAll  2025-03-16T21:35:35.889597893Z
4    1019    128    MemberOf    MemberOf   2025-03-16T21:35:36.88777499Z
5     879    406  GenericAll  GenericAll  2025-03-16T21:35:31.049135433Z
6     406    872    MemberOf    MemberOf   2025-03-16T21:35:36.88777499Z
7     872    477  GenericAll  GenericAll  2025-03-16T21:35:31.049135433Z
8     477    128    MemberOf    MemberOf   2025-03-16T21:35:36.88777499Z
9     869    477  GenericAll  GenericAll  2025-03-16T21:35:31.049135433Z
10    872   1002  GenericAll  GenericAll  2025-03-16T21:35:38.232994191Z
11   1002    128    Contains    Contains   2025-03-16T21:35:36.88777499Z
12    872   1019  GenericAll  GenericAll  2025-03-16T21:35:35.889597893Z","['643CE9DD-6D50-4B82-8DA1-994C82A16D6C'
 'S-1-5-21-1333368235-828418111-1849936505-515'
 'S-1-5-21-1333368235-828418111-1849936505-3276'
 'S-1-5-21-1333368235-828418111-1849936505-512'
 'S-1-5-21-1333368235-828418111-1849936505-3133'
 'S-1-5-21-1333368235-828418111-1849936505-1376'
 'S-1-5-21-1333368235-828418111-1849936505-1447'
 'S-1-5-21-1333368235-828418111-1849936505-3782'
 'S-1-5-21-1333368235-828418111-1849936505-3635'
 'S-1-5-21-1333368235-828418111-1849936505-3831']",381.0,,,,0.006438969764837626,0.49885057471264366,0.43333333333333335,0.039291217257318954,1.0,26.0,0.03626220362622036,57.333333333333336,34.333333333333336,0.9900028894698164,3.0041791881641706,0.269674495263976,0.20940048805153122
1,0.0,2.0,8.0,0.0,5.0,6.0,True,All domain controllers in the domain,"CN=DOMAIN CONTROLLERS,CN=USERS,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,True,2025-03-16T21:35:40.441Z,DOMAIN CONTROLLERS@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-516,Domain Controllers,1742158089.0,0.0,0.0,0.0,True,0.0,0.0,0,0,[],15.0,admin_tier_0,,,0.0005599104143337066,0.01839080459770115,0.0,0.001926040061633282,1.0,0.0,0.0,861.5,859.5,0.75908305974377,1.7799598148174383,0.1597806703881678,0.00824411370281619
2,0.0,0.0,8.0,0.0,1.0,1.0,True,Designated administrators of the schema,"CN=SCHEMA ADMINS,CN=USERS,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,True,2025-03-16T21:35:40.097Z,SCHEMA ADMINS@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-518,Schema Admins,1742158089.0,0.0,0.0,0.0,True,0.0,0.0,0,0,[],9.0,admin_tier_0,,,0.0,0.01839080459770115,0.0,0.0003852080123266564,1.0,0.0,0.0,3572.0,3572.0,0.0,1.0187760126100278,0.09145190409082934,0.004946468221689713
3,1.0,3572.0,7.0,0.0,1.0,2.0,True,Designated administrators of the enterprise,"CN=ENTERPRISE ADMINS,CN=USERS,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,True,2025-03-16T21:35:40.097Z,ENTERPRISE ADMINS@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-519,Enterprise Admins,1742158089.0,0.0,0.0,0.0,True,2.0,3.0,"                             label   kind  \
id                                          
128      DOMAIN ADMINS@MYLAB.LOCAL  Group   
129  ENTERPRISE ADMINS@MYLAB.LOCAL  Group   

                                         objectId  isTierZero  isOwnedObject  \
id                                                                             
128  S-1-5-21-1333368235-828418111-1849936505-512        True          False   
129  S-1-5-21-1333368235-828418111-1849936505-519        True          False   

                     lastSeen  
id                             
128  2025-03-16T21:35:40.428Z  
129  2025-03-16T21:35:40.097Z  ","  source target         label          kind                       lastSeen
0    129    128    WriteOwner    WriteOwner  2025-03-16T21:35:36.88777499Z
1    129    128     WriteDacl     WriteDacl  2025-03-16T21:35:36.88777499Z
2    129    128  GenericWrite  GenericWrite  2025-03-16T21:35:36.88777499Z","['S-1-5-21-1333368235-828418111-1849936505-512'
 'S-1-5-21-1333368235-828418111-1849936505-519']",3584.0,admin_tier_0,,,1.0,0.016091954022988506,0.1,0.0003852080123266564,1.0,1.0,0.001394700139470014,3572.0,0.0,0.9996109454026715,3.1174828075774568,0.2798453587388447,1.9697935673928815
4,1.0,3571.0,4.0,0.0,4.0,6.0,True,Designated administrators of the domain,"CN=DOMAIN ADMINS,CN=USERS,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,True,2025-03-16T21:35:40.428Z,DOMAIN ADMINS@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-512,Domain Admins,1742158089.0,0.0,0.0,0.0,True,0.0,0.0,0,0,[],4296.0,admin_tier_0,,,0.9997200447928332,0.009195402298850575,0.0,0.0015408320493066256,1.0,717.0,1.0,3570.6666666666665,-0.3333333333334849,0.999704227499107,4.010160506640098,0.3599778651074927,2.3611141644865565
7,0.0,0.0,217.0,0.0,5.0,17.0,False,Members in this group can modify group policy for the domain,"CN=GROUP POLICY CREATOR OWNERS,CN=USERS,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:40.097Z,GROUP POLICY CREATOR OWNERS@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-520,Group Policy Creator Owners,1742158089.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],222.0,,,,0.0,0.49885057471264366,0.0,0.001926040061633282,1.0,0.0,0.0,728.8,728.8,0.7956589697561242,2.296435584530401,0.20614286577989135,0.1220128828016796
8,0.0,0.0,8.0,0.0,3.0,10.0,True,Members of this group are Read-Only Domain Controllers in the domain,"CN=READ-ONLY DOMAIN CONTROLLERS,CN=USERS,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,True,2025-03-16T21:35:40.097Z,READ-ONLY DOMAIN CONTROLLERS@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-521,Read-only Domain Controllers,1742158089.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],11.0,,,,0.0,0.01839080459770115,0.0,0.0011556240369799693,1.0,0.0,0.0,37.0,37.0,0.9892566326983325,2.0088030613330137,0.18032311580613566,0.0060456833820652055
9,0.0,1.0,217.0,0.0,0.0,0.0,False,Members of this group are Read-Only Domain Controllers in the enterprise,"CN=ENTERPRISE READ-ONLY DOMAIN CONTROLLERS,CN=USERS,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:39.908Z,ENTERPRISE READ-ONLY DOMAIN CONTROLLERS@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-498,Enterprise Read-only Domain Controllers,1742158089.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],218.0,,,,0.0002799552071668533,0.49885057471264366,0.0,0.0,1.0,0.0,0.0,,,0.0,1.4991305299198106,0.13457162295235536,0.11981445248092862
10,0.0,85.0,217.0,0.0,2.0,2.0,False,Members of this group that are domain controllers may be cloned.,"CN=CLONEABLE DOMAIN CONTROLLERS,CN=USERS,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:40.097Z,CLONEABLE DOMAIN CONTROLLERS@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-522,Cloneable Domain Controllers,1742158089.0,0.0,0.0,0.0,False,11.0,15.0,"                                         label       kind  \
id                                                          
1002                         USERS@MYLAB.LOCAL  Container   
1019                   LOUIS_TYLER@MYLAB.LOCAL       User   
128                  DOMAIN ADMINS@MYLAB.LOCAL      Group   
2528                    JOSEF_WOLF@MYLAB.LOCAL       User   
2708                HERMAN_MCBRIDE@MYLAB.LOCAL       User   
477                  JENNA_HARDING@MYLAB.LOCAL       User   
751           CHRISTOPER_JEFFERSON@MYLAB.LOCAL       User   
869               DA-EST-DISTLIST1@MYLAB.LOCAL      Group   
871         MA-VACACIONE-DISTLIST1@MYLAB.LOCAL      Group   
877               TA-24D-DISTLIST1@MYLAB.LOCAL      Group   
886   CLONEABLE DOMAIN CONTROLLERS@MYLAB.LOCAL      Group   

                                           objectId  isTierZero  \
id                                                                
1002           643CE9DD-6D50-4B82-8DA1-994C82A16D6C       False   
1019  S-1-5-21-1333368235-828418111-1849936505-3276        True   
128    S-1-5-21-1333368235-828418111-1849936505-512        True   
2528  S-1-5-21-1333368235-828418111-1849936505-3214       False   
2708  S-1-5-21-1333368235-828418111-1849936505-3401       False   
477   S-1-5-21-1333368235-828418111-1849936505-1447        True   
751   S-1-5-21-1333368235-828418111-1849936505-1721       False   
869   S-1-5-21-1333368235-828418111-1849936505-3782       False   
871   S-1-5-21-1333368235-828418111-1849936505-3890       False   
877   S-1-5-21-1333368235-828418111-1849936505-4033       False   
886    S-1-5-21-1333368235-828418111-1849936505-522       False   

      isOwnedObject                        lastSeen  
id                                                   
1002          False        2025-03-16T21:35:40.053Z  
1019          False        2025-03-16T21:35:40.117Z  
128           False        2025-03-16T21:35:40.428Z  
2528          False        2025-03-16T21:35:40.117Z  
2708          False        2025-03-16T21:35:40.117Z  
477           False  2025-03-16T21:35:31.048103438Z  
751           False        2025-03-16T21:35:40.117Z  
869           False        2025-03-16T21:35:39.799Z  
871           False        2025-03-16T21:35:39.799Z  
877           False        2025-03-16T21:35:40.428Z  
886           False        2025-03-16T21:35:40.097Z  ","   source target       label        kind                        lastSeen
0     886   2528  GenericAll  GenericAll  2025-03-16T21:35:35.889597893Z
1    2528    869    MemberOf    MemberOf   2025-03-16T21:35:36.88777499Z
2     869    477  GenericAll  GenericAll  2025-03-16T21:35:31.049135433Z
3     477    128    MemberOf    MemberOf   2025-03-16T21:35:36.88777499Z
4     886    751  GenericAll  GenericAll  2025-03-16T21:35:31.203879153Z
5     751    871    MemberOf    MemberOf   2025-03-16T21:35:36.88777499Z
6     871   1019  GenericAll  GenericAll  2025-03-16T21:35:35.889597893Z
7    1019    128    MemberOf    MemberOf   2025-03-16T21:35:36.88777499Z
8     886   2708  GenericAll  GenericAll  2025-03-16T21:35:35.889597893Z
9    2708    877    MemberOf    MemberOf   2025-03-16T21:35:36.88777499Z
10    877   1019  GenericAll  GenericAll  2025-03-16T21:35:35.889597893Z
11    871   1002  GenericAll  GenericAll  2025-03-16T21:35:38.232994191Z
12   1002    128    Contains    Contains   2025-03-16T21:35:36.88777499Z
13    869   1019  GenericAll  GenericAll  2025-03-16T21:35:35.889597893Z
14    871    477  GenericAll  GenericAll  2025-03-16T21:35:31.049135433Z","['643CE9DD-6D50-4B82-8DA1-994C82A16D6C'
 'S-1-5-21-1333368235-828418111-1849936505-3276'
 'S-1-5-21-1333368235-828418111-1849936505-512'
 'S-1-5-21-1333368235-828418111-1849936505-3214'
 'S-1-5-21-1333368235-828418111-1849936505-3401'
 'S-1-5-21-1333368235-828418111-1849936505-1447'
 'S-1-5-21-1333368235-828418111-1849936505-1721'
 'S-1-5-21-1333368235-828418111-1849936505-3782'
 'S-1-5-21-1333368235-828418111-1849936505-3890'
 'S-1-5-21-1333368235-828418111-1849936505-4033'
 'S-1-5-21-1333368235-828418111-1849936505-522']",320.0,,,,0.02379619260918253,0.49885057471264366,0.5,0.0007704160246533128,1.0,1.0,0.001394700139470014,3361.0,3276.0,0.08283450163471184,2.1076463851206615,0.18919592990379824,0.17587442566007871
13,0.0,2592.0,8.0,0.0,0.0,0.0,True,Members of this group can perform administrative actions on key objects within the forest.,"CN=ENTERPRISE KEY ADMINS,CN=USERS,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,True,2025-03-16T21:35:39.57Z,ENTERPRISE KEY ADMINS@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-527,Enterprise Key Admins,1742158089.0,0.0,0.0,0.0,True,4.0,4.0,"                                  label   kind  \
id                                               
1019            LOUIS_TYLER@MYLAB.LOCAL   User   
128           DOMAIN ADMINS@MYLAB.LOCAL  Group   
477           JENNA_HARDING@MYLAB.LOCAL   User   
903   ENTERPRISE KEY ADMINS@MYLAB.LOCAL  Group   

                                           objectId  isTierZero  \
id                                                                
1019  S-1-5-21-1333368235-828418111-1849936505-3276        True   
128    S-1-5-21-1333368235-828418111-1849936505-512        True   
477   S-1-5-21-1333368235-828418111-1849936505-1447        True   
903    S-1-5-21-1333368235-828418111-1849936505-527        True   

      isOwnedObject                        lastSeen  
id                                                   
1019          False        2025-03-16T21:35:40.117Z  
128           False        2025-03-16T21:35:40.428Z  
477           False  2025-03-16T21:35:31.048103438Z  
903           False         2025-03-16T21:35:39.57Z  ","  source target                 label                  kind  \
0    903   1019  AddKeyCredentialLink  AddKeyCredentialLink   
1   1019    128              MemberOf              MemberOf   
2    903    477  AddKeyCredentialLink  AddKeyCredentialLink   
3    477    128              MemberOf              MemberOf   

                         lastSeen  
0  2025-03-16T21:35:35.889597893Z  
1   2025-03-16T21:35:36.88777499Z  
2  2025-03-16T21:35:31.049135433Z  
3   2025-03-16T21:35:36.88777499Z  ","['S-1-5-21-1333368235-828418111-1849936505-3276'
 'S-1-5-21-1333368235-828418111-1849936505-512'
 'S-1-5-21-1333368235-828418111-1849936505-1447'
 'S-1-5-21-1333368235-828418111-1849936505-527']",2605.0,admin_tier_0,,,0.7256438969764838,0.01839080459770115,0.13333333333333333,0.0,1.0,1.0,0.001394700139470014,,,0.0,1.8787627350469882,0.1686498576019282,1.431727746389078
